name,type,phone,address,hours,latitude,longitude,category_id,google_maps_url
Bravo Əhmədli,Hiper,+994 12 404 27 16,Ramiz Quliyev küçəsi 4,24/7,40.375206,49.944489,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375206,49.944489&travelmode=driver"
Bravo Koroğlu m/s,Hiper,+994 12 404 09 89,Heydər Əliyev prospekti 172,24/7,40.418194,49.913635,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.418194,49.913635&travelmode=driver"
Bravo 20 Yanvar m/s,Hiper,+994 12 525 20 08,Tbilisi Prospekti 3007,24/7,40.401619,49.811024,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401619,49.811024&travelmode=driver"
Bravo Gənclik Mall,Super,+994 12 525 20 08,Fətəli Xan Xoyski prospekti 14,9:00 - 23:00,40.400177,49.852364,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.400177,49.852364&travelmode=driver"
Bravo Xətai m/s,Hiper,+994 12 525 20 08,Babak prospekti,24/7,40.387726,49.874157,2237,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.387726,49.874157&travelmode=driver"
Bravo 28 Mall,Super,+994 12 525 20 08,Azadlıq prospekti 15А,09:00 - 23:00,40.379128,49.846539,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379128,49.846539&travelmode=driver"
Bravo Əsəd Əhmədov küç.,Super,+994 12 525 20 08,Əsəd Əhmədov küçəsi (Yeni Yasamal yaşayış massivi),24/7,40.393997,49.795109,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393997,49.795109&travelmode=driver"
Bravo Şəmkir,Super,+994 12 525 20 08,Bakı-Qazax şossesi 406-cı km,07:00 - 02:00,40.853363,46.031227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.853363,46.031227&travelmode=driver"
Bravo 8 Noyabr pr.,Super,+994 12 525 20 08,8 noyabr pr. 102B,07:00 - 02:00,40.373058,49.926048,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373058,49.926048&travelmode=driver"
Bravo Mərdəkan şossesi,Super,+994 12 525 20 08,Mərdəkan Şosesi,24/7,40.462429,50.082314,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.462429,50.082314&travelmode=driver"
Bravo Yeni Günəşli,Super,+994 12 525 20 08,İlqar Musayev küçəsi,07:00 - 02:00,40.386593,49.975250,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386593,49.975250&travelmode=driver"
Bravo Ramiz Qəmbərov küç.,Super,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Ramiz Qəmbərov küçəsi 2566",08:00 - 02:00,40.412334,49.954147,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412334,49.954147&travelmode=driver"
Bravo Sumqayıt,Super,+994 12 525 20 08,Üzeyir Hacıbəyov küçəsi 2,08:00 - 02:00,40.573364,49.691227,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.573364,49.691227&travelmode=driver"
Bravo Şövkət Məmmədova küç.,Super,+994 12 525 20 08,Şövkət Məmmədova küçəsi 2,24/7,40.419731,49.846649,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419731,49.846649&travelmode=driver"
Bravo 20-ci sahə,Super,+994 12 525 20 08,Şahlar Allahverdiyev küçəsi 6B,24/7,40.329807,49.818363,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.329807,49.818363&travelmode=driver"
Bravo Lökbatan,Super,+994 12 525 20 08,"Lökbatan qəsəbəsi, 28 May küçəsi",24/7,40.322475,49.732838,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.322475,49.732838&travelmode=driver"
Bravo Mirəsədulla Mirqasımov küç.,Market,+994 12 525 20 08,Mirəsədulla Mirqasımov küçəsi,07:00 - 23:00,40.395706,49.840885,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395706,49.840885&travelmode=driver"
Bravo Gəncə Mall,Market,+994 12 525 20 08,"Heydər Əliyev prospekti 433, Gəncə Mall 1-ci mərtəbə",09:00 - 23:00,40.677006,46.359890,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677006,46.359890&travelmode=driver"
Bravo Şüvəlan,Super,+994 12 525 20 08,"Şüvəlan qəsəbəsi, Polis Akademiyasının yaxınlığı",,40.486343,50.166718,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486343,50.166718&travelmode=driver"
Bravo Xırdalan,Super,+994 12 525 20 08,Heydər Əliyev prospekti,07:00 - 02:00,40.450523,49.744705,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.450523,49.744705&travelmode=driver"
"Bravo ""Park Azure"" yaşayış kompleksi",Super,+994 12 525 22 28,Afiyəddin Cəlilov küçəsi 27A,07:00 - 02:00,40.379177,49.875526,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379177,49.875526&travelmode=driver"
Bravo Globus Center,Super,+994 12 525 22 28,Cəfər Cabbarlı küçəsi 609,07:00 - 01:00,40.385128,49.828129,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385128,49.828129&travelmode=driver"
Bravo Dəniz Mall,Super,+994 12 525 20 08,"Neftçilər prospekti 26A, Dəniz Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 09:00 - 02:00),40.358597,49.838146,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358597,49.838146&travelmode=driver"
"Bravo ""Sabah Residence"" yaşayış kompleksi",Market,+994 12 525 20 08,Xanlar Əliyev küçəsi 10,07:00 - 23:00,40.350815,49.832806,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.350815,49.832806&travelmode=driver"
"Bravo ""Bağçalı şəhər"" yaşayış kompleksi",Market,+994 12 525 20 08,"Sumqayıt şəhəri, Sülh küçəsi 20B",08:00 - 23:00,40.574696,49.643204,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.574696,49.643204&travelmode=driver"
Bravo Zefir Mall,Market,+994 12 525 20 08,"Xarici Dairəvi Yol 8, Zefir Mall 1-ci mərtəbə",09:00 - 23:00,40.376522,49.793922,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376522,49.793922&travelmode=driver"
"Bravo ""Şokolad Tower"" yaşayış kompleksi",Market,+994 12 525 20 08,Həsən bəy Zərdabi prospekti,07:00 - 02:00,40.380783,49.809059,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380783,49.809059&travelmode=driver"
Bravo Əsəd Əhmədov küç.22,Market,+994 12 525 20 08,"Əsəd Əhmədov küçəsi, Xarici Dairəvi yol 22",07:00 - 02:00,40.388050,49.787800,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.388050,49.787800&travelmode=driver"
Bravo Şüvəlan Park,Market,+994 12 525 20 08,Almas İldırım küçəsi 68,09:00 - 23:00 (only in summer 09:00 - 00:00),40.484509,50.183918,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484509,50.183918&travelmode=driver"
Bravo Gəncə Avtovağzal,Market,+994 12 525 20 08,Gəncə-Şəmkir şossesi sağ tərəfi,08:00 - 23:00,40.701084,46.321404,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.701084,46.321404&travelmode=driver"
Bravo Amburan Mall,Market,+994 12 525 20 08,"Bilgəh qəsəbəsi, Amburan Mall 1-ci mərtəbəsi",09:00 - 23:00 (only in summer 24/7),40.588303,50.058319,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.588303,50.058319&travelmode=driver"
"Bravo ""Şərifzadə Center"" yaşayış kompleksi",Super,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 380A,07:00 - 02:00,40.383671,49.804050,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383671,49.804050&travelmode=driver"
Bravo Mir Cəlal küç.,Market,+994 12 404 04 80,"4-cü mkr, Mir Cəlal küçəsi 2A",07:00-23:00,40.412987,49.804237,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412987,49.804237&travelmode=driver"
Bravo Səməd Vurğun küç.,Super,+994 12 525 20 08,Səməd Vurğun küçəsi,07:00 - 02:00,40.386280,49.837585,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.386280,49.837585&travelmode=driver"
Bravo A.M.Şərifzadə küç.,Market,+994 12 525 20 08,"Abbas Mirzə Şərifzadə Küçəsi 231-233, 2 saylı Bakı Tibb kollecinin yaxınlığında",07:00 - 02:00,40.398560,49.801273,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398560,49.801273&travelmode=driver"
Bravo Qış Parkı,Super,+994 12 525 20 08,"Məhəmməd Füzuli küçəsi, Qış parkı ilə üzbəüz",24/7,40.376831,49.835712,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.376831,49.835712&travelmode=driver"
Bravo Babək pr.,Market,+994 12 404 04 80,"Babək prospekti 94, Sərhədçi İdman kompleksinin yaxınlığı",07:00 - 02:00,40.394787,49.963158,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394787,49.963158&travelmode=driver"
"Bravo ""Qəsr"" yaşayış kompleksi",Market,+994 12 525 20 08,"Masazır qəsəbəsi, Əliağa Vahid küçəsi 281",08:00 - 23:00,40.484016,49.757584,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.484016,49.757584&travelmode=driver"
Bravo Azadlıq pr.,Super,+994 12 404 04 80,"Nərimanov rayonu, Azadlıq prospekti 145",24/7,40.401787,49.837296,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.401787,49.837296&travelmode=driver"
Bravo İstanbul Evləri,Market,+994 12 404 04 80,"Binəqədi rayonu, Əcəmi Naxçıvani küçəsi 39L",07:00 - 02:00,40.416210,49.840031,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416210,49.840031&travelmode=driver"
Bravo Fətəli xan Xoyski küç.,Super,+994 12 525 20 08,"Fətəli xan Xoyski küçəsi, 5 №-li xəstəxana yaxınlığı",24/7,40.403156,49.864838,2236,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403156,49.864838&travelmode=driver"
"Bravo ""Renessance Palace"" yaşayış kompleksi",Market,+994 12 525 20 08,Zahid Xəlilov Küçəsi 576,07:00 - 02:00,40.384518,49.812393,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.384518,49.812393&travelmode=driver"
"Bravo ""Park Xətai"" yaşayış kompleksi",Market,+994 12 525 20 08,Gəncə prospekti 2942A,07:00 - 02:00,40.365807,49.959637,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.365807,49.959637&travelmode=driver"
"Bravo ""Whitestone"" yaşayış kompleksi",Market,+994 12 525 20 08,Qarabağ küçəsi 68,07:00 - 02:00,40.391796,49.860645,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391796,49.860645&travelmode=driver"
"Bravo ""Roseville"" yaşayış kompleksi",Market,+994 12 525 20 08,Kazım Kazımzadə küçəsi 30,08:00 - 23:00,40.390942,49.849545,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390942,49.849545&travelmode=driver"
Bravo Sabit Orucov küç.,Market,+994 12 525 20 08,Sabit Orucov küçəsi 13,07:00 - 23:00,40.380573,49.866737,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380573,49.866737&travelmode=driver"
"Bravo Yasamal ""Asan Xidmət""",Market,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 66,07:00 - 23:00,40.378220,49.804775,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.378220,49.804775&travelmode=driver"
Bravo Bakıxanov Mall,Market,+994 12 525 20 08,"Bakıxanov qəsəbəsi, Yavər Əliyev küçəsi 132",08:00 - 23:00,40.432003,49.954494,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.432003,49.954494&travelmode=driver"
Bravo Elşən Süleymanov küç.,Ekspres,+994 12 525 20 08,Elşən Süleymanov küçəsi 137A,08:00 - 02:00,40.409325,49.956383,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.409325,49.956383&travelmode=driver"
Bravo Yavər Əliyev küç.,Market,+994 12 525 20 08,Yavər Əliyev küçəsi 10,08:00 - 23:00,40.437290,49.959236,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.437290,49.959236&travelmode=driver"
Bravo Təbriz küç.,Market,+994 12 525 20 08,Təbriz küçəsi 41,06:00 - 02:00,40.393024,49.857925,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393024,49.857925&travelmode=driver"
Bravo Bilgəh,Market,+994 12 525 20 08,"Nardaran qəsəbəsi, Azərbaycan Qadını küçəsi",09:00 - 23:00 (only in summer 24/7),40.554775,50.022442,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.554775,50.022442&travelmode=driver"
Bravo Adil İsgəndərov küç.,Market,+994 12 525 20 08,"Gəncə şəhəri, Adil İsgəndərov küçəsi 2",24/7,40.677341,46.371674,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.677341,46.371674&travelmode=driver"
Bravo Adil Məmmədov küç.,Market,+994 12 525 20 08,Adil Məmmədov küçəsi 42C,08:00 - 23:00,40.421795,49.809044,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.421795,49.809044&travelmode=driver"
Bravo Xəqani küç.,Ekspres,+994 12 525 20 08,Xaqani küçəsi 26/32,07:00-02:00,40.374973,49.850178,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374973,49.850178&travelmode=driver"
Bravo Bülbül küç.,Ekspres,+994 12 525 20 08,Bülbül prospekti 18,24/7,40.374413,49.843643,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.374413,49.843643&travelmode=driver"
"Bravo ""Life Center"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,"Nərimanov rayonu, Əhməd Rəcəbli prospekti",07:00 - 02:00,40.403027,49.867691,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403027,49.867691&travelmode=driver"
Bravo Sabunçu,Ekspres,+994 12 525 20 08,"Sabunçu qəsəbəsi, №3 xəstəxana yaxınlığı",07:00 - 00:00,40.443058,49.942692,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.443058,49.942692&travelmode=driver"
"Bravo ""Rahatlıq məkanı"" yaşayış kompleksi",Market,+994 12 525 20 08,Əlif Hacıyev küçəsi,07:00 - 02:00,40.416355,49.933159,2235,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.416355,49.933159&travelmode=driver"
Bravo Axundov parkı,Ekspres,+994 12 525 20 08,Əhməd Cavad küçəsi 3,07:00-07:00,40.368645,49.830395,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368645,49.830395&travelmode=driver"
"Bravo ""Azinko"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Əliyar Əliyev küçəsi 26,07:00 - 02:00,40.406548,49.876183,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406548,49.876183&travelmode=driver"
Bravo M.K.Atatürk pr.,Ekspres,+994 12 525 20 08,Mustafa Kamal Atatürk prospekti 27,24/7,40.408398,49.847549,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.408398,49.847549&travelmode=driver"
"Bravo ""Bakı Tennis Akademiyası""",Ekspres,+994 12 525 20 08,"8-ci mkr, İbrahimpaşa Dadaşov küçəsi",07:00 - 02:00,40.422466,49.842594,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.422466,49.842594&travelmode=driver"
Bravo Məhəmməd Xiyabani küç.,Ekspres,+994 12 525 20 08,Məhəmməd Xiyabani küçəsi 202A,07:00 - 00:00,40.399067,49.792599,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399067,49.792599&travelmode=driver"
Bravo Sumqayıt Dəmiryol st.,Ekspres,+994 12 525 20 08,Sumqayıt Dəmiryolu stanstiyası,06:30 - 00:00,40.561970,49.681252,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.561970,49.681252&travelmode=driver"
Bravo Hüseyn Seyidzadə küç.,Ekspres,+994 12 525 20 08,Hüseyn Seyidzadə küçəsi 56,07:00 - 23:00,40.415878,49.819038,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415878,49.819038&travelmode=driver"
Bravo Xalqlar Dostluğu m/s,Ekspres,+994 12 525 20 08,Bəhruz Nuriyev küçəsi 2383,07:00 - 00:00,40.402592,49.955204,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.402592,49.955204&travelmode=driver"
Bravo Cəmşid Naxçıvanski küç.,Ekspres,+994 12 525 20 08,Cəmşid Naxçıvanski küçəsi 51,00:00 - 00:00,40.406052,49.949257,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406052,49.949257&travelmode=driver"
Bravo Binəqədi,Ekspres,+994 12 525 20 08,"Binəqədi rayonu, Xarici Dairəvi küçəsi 16C",08:00 -23:00,40.430470,49.850700,2238,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.430470,49.850700&travelmode=driver"
